Calendar Group,Event Type Tags,id,Title,Category,Research Topic,Date,Duration,Attendance,Location,Year
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Michael Line,Science,,5/6/2014,1,40,,2014
CIERA - Special Seminars,Academic Seminars,,Alex Lazarian,Science,,5/6/2014,1,35,,2014
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: Josh Bloom, University of California, Berkeley
Inference in Time Domain Astrophysics",Interdisciplinary|Science|Data Science & Computing,Gravitational Waves & Multi-Messenger Astronomy,5/7/2014,1,60,L211,2014
CIERA - Special Seminars,Academic Seminars,,Eleni Kalfountzou,Science,,5/9/2014,1,35,,2014
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: David Kipping,Science,,5/9/2014,1,30,,2014
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alison Sills,Science,,5/13/2014,1,40,,2014
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Laura Lopez,Science,,5/20/2014,1,40,,2014
CIERA - Special Seminars,Academic Seminars,,Sweta Shah,Science,,5/23/2014,1,35,,2014
CIERA - Conferences/Collab Meetings,Collab/Group Meetings,,FIRE (Feedback In Realistic Environments) Galaxy Formation Simulation Workshop,Interdisciplinary|Science|Data Science & Computing,Galaxies & Cosmology,7/25/2014,1,16,Tech,2014
CIERA - Special Seminars,Academic Seminars,,Kostas Tassis,Science,,7/25/2014,1,35,,2014
CIERA - Conferences/Collab Meetings,Conferences,,Conference on Next-Generation Telescopes,Interdisciplinary|Science,Other,8/22/2014,1,13,"CIERA, 8th Floor",2014
CIERA - Special Seminars,Academic Seminars,,Tassos Fragos,Science,,8/22/2014,1,35,,2014
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mike McCourt,Science,,9/23/2014,1,40,,2015
CIERA - Special Public Events,Public Outreach|Education,,"CIERA helps host Boy Scounts and Families for ""NU STEM and Sports""",Outreach|Education,,9/29/2014,1,80,Dearborn Observatory,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andrew MacFadyen,Science,,10/6/2014,1,40,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ryan Foley,Science,,10/14/2014,1,40,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Rachel Friesen,Science,,10/21/2014,1,40,,2015
CIERA - Special Seminars,Academic Seminars,,Rob Ferdman,Science,,10/23/2014,1,35,,2015
CIERA - Special Seminars,Academic Seminars,,Laura Sampson,Science,,10/27/2014,1,35,,2015
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: James Stone, Princeton University The Role of Computation in Astrophysical Plasma Dynamics",Interdisciplinary|Data Science & Computing,Black Holes & Dead Stars,10/28/2014,1,50,F160,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Douglas Heggie,Science,,10/29/2014,1,30,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Gongjie Li,Science,,10/30/2014,1,30,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Gwen Rudie,Science,,11/3/2014,1,40,,2015
CIERA - Special Seminars,Academic Seminars,,Ondrej Pejcha,Science,,11/3/2014,1,35,,2015
CIERA - Special Public Events,Education,,CIERA participates in OSEP STEM Summit,Education|Interdisciplinary,,11/5/2014,1,260,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Saul Rappaport,Science,,11/10/2014,1,40,,2015
CIERA - Special Public Events,Public Outreach|Education,,"CIERA Graduate Students run the FUSE workshop for ""Girls do Hack"" Event",Education|Outreach|Interdisciplinary,,11/15/2014,1,80,Adler Planetarium,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jacob Bean,Science,,11/18/2014,1,40,,2015
CIERA - Special Seminars,Academic Seminars,,Titos Matsakos,Science,,11/24/2014,1,35,,2015
CIERA - Special Seminars,Academic Seminars,,Benedikt Diemer,Science,,11/30/2014,1,35,,2015
CIERA - Special Seminars,Academic Seminars,,Konstantin Pavlovskii,Science,,12/10/2014,1,35,,2015
CIERA - Community Events,Community Events|Future Leaders|Academic Seminars,,Postdocs End-of-the-year Presentations,Achievement|Science|Professional Development,,12/15/2014,1,50,CIERA,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Doug Watson,Science,,1/6/2015,1,40,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Jing Luan,Science,,1/15/2015,1,30,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Alex Richings,Science,,1/15/2015,1,30,,2015
CIERA - Conferences/Collab Meetings,Conferences,,2015 Aspen Winter Conference: Black Holes in Dense Star Clusters,Science|Interdisciplinary,Black Holes & Dead Stars,1/17/2015,6,91,Aspen Center for Physics,2015
CIERA - Special Seminars,Academic Seminars,,Maria Cunningham,Science,,1/18/2015,1,35,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mariska Kriek,Science,,1/20/2015,1,40,,2015
CIERA - Special Seminars,Academic Seminars,,Frederick Davies,Science,,1/22/2015,1,35,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Monica Turner,Science,,1/22/2015,1,30,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Jungyeon Cho,Science,,1/22/2015,1,30,,2015
CIERA - Special Seminars,Academic Seminars,,Nicholas McConnell,Science,,1/28/2015,1,35,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Serena Repetto,Science,,1/29/2015,1,30,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Joshua Peek,Science,,2/3/2015,1,40,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Jeremy Webb,Science,,2/5/2015,1,30,,2015
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: Ben McCall, University of Illinois at Urbana-Champaign
Astrochemistry: From H3+ to C60",Interdisciplinary|Science,Other,2/10/2015,1,50,F160,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Lucianne Walkowicz,Science,,2/17/2015,1,40,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mark Reid,Science,,3/3/2015,1,40,,2015
CIERA - Special Seminars,Academic Seminars,,James Guillochon,Science,,3/3/2015,1,35,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Edo Berger,Science,,3/5/2015,1,30,,2015
CIERA - Special Public Events,Public Outreach|Education,,CIERA Postdocs lead 'Mission to Space' workshop during Expanding your Horizons STEM event,,,3/28/2015,1,200,CIERA,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Marilena LoVerde,Science,,3/31/2015,1,40,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Dawn Erb,Science,,4/7/2015,1,40,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Scott Tremaine,Science,,4/9/2015,1,30,,2015
CIERA - Special Public Events,Public Outreach,,"Dr David Meyer presents ""Exploring the Universe with the Hubble Space Telescope"" for a ""Day with Northwestern""",Outreach,Galaxies & Cosmology,4/18/2015,1,250,1999 University Drive,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Geoffrey Vasil,Science,,4/21/2015,1,40,,2015
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: Dave Meyer, Northwestern University
Experiencing Hubble in the Classroom and Beyond",Interdisciplinary|Education,Other,4/24/2015,1,30,L211,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Phil Muirhead,Science,,5/7/2015,1,40,,2015
CIERA - Special Seminars,Academic Seminars,,Jay Strader,Science,,5/8/2015,1,35,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: David Merritt,Science,,5/8/2015,1,30,,2015
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Pranab Ghosh,Science,,5/8/2015,1,30,,2015
CIERA - Annual Public Lecture Series,Public Outreach,,"CIERA 6th Annual Public Lecture by Neil deGrasse Tyson ""This Just In: Latest Discoveries in the Universe""",Outreach|Interdisciplinary,Other,5/15/2015,1,500,Tech - Ryan Auditorium,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Edwin Bergin,Science,,5/19/2015,1,40,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tom Abel,Science,,5/26/2015,1,40,,2015
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Garth Illingworth,Science,,6/2/2015,1,40,,2015
CIERA - Special Seminars,Academic Seminars,,Pablo Marchant,Science,,6/2/2015,1,35,,2015
CIERA - Special Public Events,Public Outreach,,"CIERA Graduate Students take part in ""Summer of Science"" celebration",Outreach,,6/15/2015,1,,Adler Planetarium,2015
CIERA - Special Public Events,Public Outreach|Education|Future Leaders,,"CIERA Graduates hosts highschool students for ""2015 Opportunities for the Future""",Education|Outreach|Interdisciplinary,,6/27/2015,1,30,Dearborn Observatory,2015
CIERA - Special Public Events,Future Leaders,,CIERA hosts College of DuPage Astronomy Club for day visit,,,7/10/2015,1,9,CIERA,2015
CIERA - Special Public Events,Public Outreach,,"Dr Kalogera meets with Office of Research Staff for ""NU Astronomy: Big Data, Telescope Innovation, and the Cosmos""",Outreach|Data Science & Computing|Interdisciplinary,,8/18/2015,1,40,CIERA,2015
CIERA - Community Events,Future Leaders|Academic Seminars|Community Events,,"CIERA ""Seven Minutes of Science"" Symposium",Professional Development|Interdisciplinary|Data Science & Computing,,9/11/2015,1,12,Tech - Ryan Auditorium,2016
CIERA - Special Seminars,Academic Seminars,,Adrian Hamers,Science,,9/16/2015,1,35,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Zhaohuan Zhu,Science,,9/22/2015,1,40,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ryan Cooke,Science,,9/29/2015,1,40,,2016
CIERA - Conferences/Collab Meetings,Conferences,,2015 Midwest Relativity Meeting,Science|Interdisciplinary,Gravitational Waves & Multi-Messenger Astronomy,10/2/2015,1,100,"Louis Room, Norris University Center",2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Amaury Triaud,Science,,10/6/2015,1,40,,2016
CIERA - Special Seminars,Academic Seminars,,Andrew W. Smith,Science,,10/8/2015,1,35,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tony Piro,Science,,10/13/2015,1,40,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Thayne Currie,Science,,10/20/2015,1,40,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tim Brandt,Science,,10/27/2015,1,40,,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Blake Sherwin,Science,,10/29/2015,1,30,,2016
CIERA - Annual Public Lecture Series,Public Outreach,,"CIERA 7th Annual Public Lecture by Dr Alan Stern: ""New Horizons""",Outreach|Science,Exoplanets & the Solar System,11/3/2015,1,275,Tech - Ryan Auditorium,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Raffaella Margutti,Science,,11/3/2015,1,40,,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: John Chisholm,Science,,11/6/2015,1,30,,2016
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: Dennis Lehmkuhl, Caltech: What Einstein Really Thought About General Relativity",Interdisciplinary|Science,Gravitational Waves & Multi-Messenger Astronomy,11/10/2015,1,75,ITW Classroom,2016
Development Events,Development/Strategic,,CIERA Dr. Paulsen and graduate student Katie Breivik meet congressmen Bob Dold to review CIERA programs and direction,Interdisciplinary|Outreach,,11/10/2015,1,4,Lake Forest at Elaway Farms,2016
CIERA - Special Public Events,Public Outreach,,Graduate Student Katie Breivik leads stargazing activity  for Adventure Guides,Education|Outreach,,11/10/2015,1,20,Lake Forest,2016
CIERA - Special Seminars,Academic Seminars,,Tuguldur Sukhbold,Science,,11/11/2015,1,35,,2016
CIERA - Special Public Events,Education,,"CIERA hosts Boy Scouts for 3rd annual ""NU Stem and Sports Day""",Education|Outreach,,11/12/2015,1,70,Dearborn Observatory,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Greg Sloan,Science,,11/13/2015,1,30,,2016
CIERA - Special Seminars,Academic Seminars,,John Tobin,Science,,11/16/2015,1,35,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Maryam Modjaz,Science,,11/17/2015,1,40,,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Shuo Zhang,Science,,11/20/2015,1,30,,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Katerina Chatziioannou,Science,,11/20/2015,1,30,,2016
CIERA - Special Seminars,Academic Seminars,,Morgan MacLeod,Science,,11/23/2015,1,35,,2016
CIERA - Special Public Events,Education,,Graduate Students speak at High School Women's STEM Event,Education,,11/25/2015,1,30,"Prospect High School, Mt. Prospect Il",2016
CIERA - Special Public Events,Public Outreach,,2015 Total Lunar Eclipse Party,,,11/27/2015,1,1700,Segal Visitors Center,2016
CIERA - Conferences/Collab Meetings,Conferences,,Extreme Solar Systems III International Conference,Science|Interdisciplinary,Exoplanets & the Solar System,11/29/2015,6,347,"Waikoloa Beach Marriott Resort & Spa, Hawaii",2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Yuan Li,Science,,12/1/2015,1,40,,2016
CIERA - Community Events,Future Leaders|Community Events,,AAAS Fellow Jeremy Ward visits CIERA to speak with Grad Students and Researchers,,,12/4/2015,1,,CIERA,2016
CIERA - Special Seminars,Academic Seminars,,Tim Brandt,Science,,1/12/2016,1,35,,2016
CIERA - Special Seminars,Academic Seminars,,Ian Stephens,Science,,1/14/2016,1,35,,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Michael Tremmel,Science,,1/15/2016,1,30,,2016
CIERA - Special Seminars,Academic Seminars,,Jennifer Yee,Science,,1/20/2016,1,35,,2016
CIERA - Special Seminars,Academic Seminars,,Greg Mosby,Science,,1/22/2016,1,35,,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Betsy Mills,Science,,1/22/2016,1,30,,2016
CIERA - Special Seminars,Academic Seminars,,Branimir Sesar,Science,,1/25/2016,1,35,,2016
CIERA - Special Seminars,Academic Seminars,,Ryan Foley,Science,,1/28/2016,1,35,,2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,1/29/2016,1,,Dearborn Observatory,2016
CIERA - Special Seminars,Academic Seminars,,Raffaella Margutti,Science,,2/1/2016,1,35,,2016
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: Olivier Guyon, University of Arizona, College of Optical Sciences
Imaging and Characterizing Habitable Exoplanets with Ground and Space-based Telescopes",Interdisciplinary|Science,Exoplanets & the Solar System,2/3/2016,1,60,Ford ITW,2016
CIERA - Special Public Events,Education,,Graduate Student Speaker Series,Education|Outreach,,2/9/2016,1,70,Vernon Hills High School,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ben Bar-Or,Science,,2/16/2016,1,40,,2016
CIERA - Special Public Events,Public Outreach,,"Dr Kalogera speaks on Chicago Network's ""Panel on Space""",Outreach,,2/22/2016,1,150,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Leslie Looney,Science,,2/23/2016,1,40,,2016
CIERA - Special Seminars,Academic Seminars,,Jamil A. Shariff,Science,,2/25/2016,1,35,,2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,2/26/2016,1,,Dearborn Observatory,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Julie Hlavacek-Larrondo,Science,,2/29/2016,1,40,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tsevi Mazeh,Science,,3/8/2016,1,40,,2016
CIERA - Astronomy on Tap,Public Outreach,,Astronomy on Tap,Outreach,,3/10/2016,1,75,Smylie Brothers Brewing Co.,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Manos Chatzopoulos,Science,,3/11/2016,1,30,,2016
CIERA - Special Public Events,Public Outreach,,Northwestern Science Cafe,Outreach,Gravitational Waves & Multi-Messenger Astronomy,3/23/2016,1,80,Firehouse Grill,2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,3/25/2016,1,,Dearborn Observatory,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Laura Chomiuk,Science,,3/29/2016,1,40,,2016
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: Roger F. Malina, University of Texas at Dallas
How an Astrophysicist Came to Work in a School of Art and Technology: The Role of Hybrid Art-Science Practices Today",Interdisciplinary|Science,Other,4/7/2016,1,50,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alycia Weinberger,Science,,4/12/2016,1,40,,2016
CIERA - Special Seminars,Academic Seminars,,Ethan Vishniac,Science,,4/13/2016,1,35,,2016
Development Events,Future Leaders,,CIERA presents IDEAS program to future STEM leaders conference,Professional Development|Interdisciplinary|Data Science & Computing,Other,4/20/2016,1,400,"Capitol Hill, DC",2016
Development Events,Development/Strategic|Future Leaders,,Graduate Student presentation for NSF site visit,Professional Development,,4/21/2016,1,25,Silverman Hall Atrium,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ilse Cleeves,Science,,4/26/2016,1,40,,2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,4/29/2016,1,,Dearborn Observatory,2016
CIERA - Special Public Events,Public Outreach,,"CIERA's Aaron Geller presents ""When Art and Science meet"" at college of DuPage ""STEM-CON""",Education|Outreach|Interdisciplinary,Other,4/29/2016,1,1000,College of DuPage,2016
CIERA - Special Public Events,Public Outreach|Education,,"Take your daughters and sons to work day info session: ""Ripples in Spacetime""",Education|Outreach,,4/30/2016,1,30,Norris University Center,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Mads Sorensen,Science,,5/1/2016,1,30,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Matteo Cantiello,Science,,5/3/2016,1,40,,2016
CIERA - Special Public Events,Public Outreach,,2016 Mercury Transit,,,5/9/2016,1,40,Dearborn Observatory,2016
CIERA - Special Public Events,Public Outreach,,(En)Lightning Talks Chicago with Dr Kalogera,Outreach,,5/10/2016,1,200,Chicago History Museum,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Xavier Siemens,Science,,5/10/2016,1,40,,2016
CIERA - Special Seminars,Academic Seminars,,B-G Andersson,Science,,5/12/2016,1,35,,2016
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Jeff Andrews,Science,,5/15/2016,1,30,,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Daniel Jontof-Hutter,Science,,5/17/2016,1,40,,2016
CIERA - Special Seminars,Academic Seminars,,Jonathan Stern,Science,,5/23/2016,1,35,,2016
CIERA - Special Public Events,Public Outreach,,Solar System Symphony with Beinen School of Music,Interdisciplinary|Outreach,,5/24/2016,1,300,Pick-Staiger Concert Hall,2016
CIERA - Special Public Events,Public Outreach,,Northwestern Science Cafe,Outreach|Science,,5/25/2016,1,70,Firehouse Grill,2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,5/27/2016,1,,Dearborn Observatory,2016
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jonathan Trump,Science,,5/31/2016,1,40,,2016
CIERA - Special Seminars,Academic Seminars,,Juan Diego Soler Pulido,Science,,6/2/2016,1,35,,2016
CIERA - Conferences/Collab Meetings,Collab/Group Meetings,,Pre O2 Midwest Meeting,Science,Gravitational Waves & Multi-Messenger Astronomy,6/3/2016,1,20,CIERA,2016
CIERA - Conferences/Collab Meetings,Collab/Group Meetings,,NIAC Kick-Off Meeting,Science,,6/8/2016,1,12,CIERA,2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,6/24/2016,1,,Dearborn Observatory,2016
CIERA - REU,Future Leaders|Education,,CIERA REU Career discussion panel,Professional Development,,7/13/2016,1,,Online,2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,7/29/2016,1,,Dearborn Observatory,2016
CIERA - Conferences/Collab Meetings,Future Leaders|Collab/Group Meetings,,LSSTC Data Science Fellowship Program,Data Science & Computing|Interdisciplinary|Professional Development,,8/1/2016,5,20,CIERA,2016
CIERA - Special Seminars,Academic Seminars,,Evan Schneider,Science,,8/5/2016,1,35,,2016
CIERA - Conferences/Collab Meetings,Future Leaders|Collab/Group Meetings,,GNOME Data Analysis Bootcamp,Science|Interdisciplinary|Data Science & Computing,,8/16/2016,1,10,"Evanston, Il",2016
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,8/26/2016,1,,Dearborn Observatory,2016
CIERA - Special Seminars,Academic Seminars,,Fellows at the Frontiers 2016: Astronomy Research on the Cutting-edge,Science|Interdisciplinary,Other,9/1/2016,1,35,Norris University Center,2017
CIERA - Special Public Events,Public Outreach|Education,,"4th Annual ""NU STEM and Sports"" outreach event",Education|Outreach,,9/12/2016,1,25,Dearborn Observatory,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Eliza Kempton,Science,,9/15/2016,1,30,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Peter K. G. Williams,Science,,9/20/2016,1,40,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Xuening Bai,Science,,9/27/2016,1,40,,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Cliff Johnson,Science,,9/29/2016,1,30,,2017
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,9/30/2016,1,,Dearborn Observatory,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Sarah Wellons,Science,,9/30/2016,1,30,,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Matt Payne,Science,,10/6/2016,1,30,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Natalia Storch,Science,,10/11/2016,1,40,,2017
CIERA - Conferences/Collab Meetings,Collab/Group Meetings,,Gravity Spy Meeting,Science,Gravitational Waves & Multi-Messenger Astronomy,10/20/2016,2,10,CIERA,2017
Development Events,Development/Strategic,,Fall 2016 BoV Meeting,,,10/21/2016,1,9,Tech,2017
CIERA - Community Events,Community Events|Future Leaders|Academic Seminars,,Rapid-Fire Research Inauguration,Interdisciplinary|Science,Other,10/26/2016,1,10,CIERA ,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Eve Lee,Science,,10/27/2016,1,30,,2017
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,10/28/2016,1,,Dearborn Observatory,2017
CIERA - Special Seminars,Academic Seminars,,Elad Steinberg,Science,,10/31/2016,1,35,,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Jacob Simon,Science,,11/4/2016,1,30,,2017
CIERA - Special Seminars,Academic Seminars,,Benjamin Montet,Science,,11/10/2016,1,35,,2017
CIERA - Special Seminars,Academic Seminars,,Ondrej Pejcha,Science,,11/14/2016,1,35,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Wen-fai Fong,Science,,11/17/2016,1,40,,2017
CIERA - Special Seminars,Academic Seminars,,Siyao Xu,Science,,11/17/2016,1,35,,2017
CIERA - Special Seminars,Academic Seminars,,Wen-fai Fong,Science,,11/17/2016,1,35,,2017
CIERA - Special Seminars,Academic Seminars,,Francois Foucart,Science,,11/21/2016,1,35,,2017
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,11/25/2016,1,,Dearborn Observatory,2017
CIERA - Special Seminars,Academic Seminars,,Jennifer van Saders,Science,,11/28/2016,1,35,,2017
CIERA - Special Seminars,Academic Seminars,,Sasha Tchekhovskoy,Science,,11/30/2016,1,35,,2017
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: Dave Reitze, LIGO Laboratory, Caltech
Colliding Black Holes & Convulsions in Space-time: The First Observations of Gravitational Waves by LIGO",Interdisciplinary|Science,Gravitational Waves & Multi-Messenger Astronomy,12/1/2016,1,150,L211,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Alexander Rasskazov,Science,,12/1/2016,1,30,,2017
CIERA - Special Public Events,Public Outreach,,"Graduate Students participate in panel for Women in Stem club, Prospect High School",Outreach|Education,,12/8/2016,1,30,"Prospect High School, Mt. Prospect Il",2017
CIERA - Special Seminars,Academic Seminars,,Rebecca McElroy,Science,,12/8/2016,1,35,,2017
CIERA - Conferences/Collab Meetings,Collab/Group Meetings,,LIGO Collaborators Meeting,Science,Gravitational Waves & Multi-Messenger Astronomy,12/12/2016,1,8,CIERA,2017
CIERA - Community Events,Community Events|Future Leaders|Academic Seminars,,4th CIERA Research Jamboree,Interdisciplinary|Science,Other,12/14/2016,1,,Dearborn Observatory,2017
CIERA - Astronomer Evenings,Public Outreach,,CIERA Astronomer Evenings,Outreach,,12/30/2016,1,,Dearborn Observatory,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Robert De Rosa,Science,,1/10/2017,1,40,,2017
CIERA - Special Public Events,Future Leaders,,CIERA participates in 229th AAS,Achievement|Interdisciplinary,,1/15/2017,1,9,"Grapevine, Texas",2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ashley Zauderer,Science,,1/17/2017,1,40,,2017
Development Events,Development/Strategic,,Winter 2017 BoV Meeting,,,1/18/2017,1,9,Tech,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tyler Groff,Science,,1/24/2017,1,40,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Smadar Naoz,Science,,1/31/2017,1,40,,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Alex Lazarian,Science,,2/3/2017,1,30,,2017
CIERA - Special Seminars,Academic Seminars,,Cullen Blake,Science,,2/6/2017,1,35,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jessica Werk,Science,,2/7/2017,1,40,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Dustin Lang,Science,,2/14/2017,1,40,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Nadia Zakamska,Science,,2/21/2017,1,40,,2017
CIERA - Special Public Events,Education,,CIERA hosts Astronomy Day professional development,Education,,2/23/2017,1,12,CIERA,2017
CIERA - Theory Group Meetings,Academic Seminars,,CIERA Theory Group: Michael Perryman,Science,,2/24/2017,1,30,,2017
CIERA - Interdisciplinary Colloquia,Academic Seminars,,"CIERA Interdisciplinary Colloquium: N. Jeremy Kasdin, Princeton University
Finding and Characterizing Earth 2.0: An Engineering and Astronomy Partnership",Interdisciplinary|Science,,3/1/2017,1,80,F160,2017
CIERA - Conferences/Collab Meetings,Conferences,,2017 Aspen Winter Conference: Formation and Dynamical Evolution of Exoplanets,Science,Exoplanets & the Solar System,3/26/2017,7,135,Aspen Center for Physics,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Amy Bender,Science,,3/28/2017,1,40,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Norman Murray,Science,,4/4/2017,1,40,,2017
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Jo Bovy,Science,,4/11/2017,1,40,,2017
CIERA - Special Seminars,Academic Seminars,,Wei Zhu,Science,,4/21/2017,1,35,,2017
